Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn,Z_Score
2025-08-04,69900.0,64200.0,69900.0,64200.0,71400,6.88,AST,0.0688073394495412,67050.0,5700.0,0.0850624385438489,2.293994488124565
2025-08-05,69200.0,70000.0,72800.0,69000.0,113200,-1.0,AST,-0.010014306151645225,70900.0,3800.0,-0.0114943794257342,2.159433290034942
2025-08-07,69500.0,69700.0,69700.0,67400.0,39300,2.21,AST,0.022058823529411686,68550.0,2300.0,-0.002873565195733,2.217102374930495
2025-08-11,68800.0,67600.0,69900.0,67000.0,56300,1.78,AST,0.01775147928994092,68450.0,2900.0,0.0175957618903801,2.082541176840872
2025-08-12,69300.0,68100.0,69500.0,68100.0,39900,0.73,AST,0.007267441860465018,68800.0,1400.0,0.0174676930403911,2.1786563183334597
2025-08-14,69300.0,67300.0,69400.0,67300.0,12700,2.67,AST,0.026666666666666616,68350.0,2100.0,0.0292846695451753,2.1786563183334597
2025-08-21,68800.0,67900.0,70000.0,67900.0,24000,2.84,AST,0.0284005979073243,68950.0,2100.0,0.0131677103746472,2.082541176840872
2025-08-25,68500.0,69500.0,69500.0,68000.0,27100,0.74,AST,0.007352941176470562,68750.0,1500.0,-0.0144930073025655,2.0248720919453196
2025-08-26,69500.0,68100.0,69500.0,68000.0,15900,1.46,AST,0.014598540145985384,68750.0,1500.0,0.0203495394152799,2.217102374930495
2025-08-27,71500.0,69500.0,72000.0,69000.0,35800,2.88,AST,0.02877697841726623,70500.0,3000.0,0.0283706971292154,2.601562940900845
2025-08-28,71400.0,72000.0,72000.0,71000.0,3800,-0.14,AST,-0.0013986013986013734,71500.0,1000.0,-0.0083682496705179,2.5823399126023276
2025-08-29,70000.0,71400.0,71400.0,69500.0,5700,-1.96,AST,-0.019607843137254943,70450.0,1900.0,-0.0198026272961797,2.3132175164230824
2025-09-03,70000.0,70000.0,70000.0,69000.0,21400,0.0,AST,0.0,69500.0,1000.0,0.0,2.3132175164230824
2025-09-04,69000.0,69900.0,69900.0,68600.0,9800,-1.43,AST,-0.014285714285714235,69250.0,1300.0,-0.0129591446425063,2.120987233437907
2025-09-05,69300.0,69500.0,70000.0,69200.0,7800,0.43,AST,0.004347826086956497,69600.0,800.0,-0.0028818463748887,2.1786563183334597
2025-09-08,68500.0,69100.0,69300.0,68500.0,11600,-1.15,AST,-0.011544011544011523,68900.0,800.0,-0.0087209855054446,2.0248720919453196
2025-09-09,69100.0,69400.0,69400.0,69100.0,300,0.88,AST,0.008759124087591275,69250.0,300.0,-0.0043321367391335,2.1402102617364247
2025-09-10,68900.0,68000.0,69000.0,68000.0,8400,-0.29,AST,-0.0028943560057886897,68500.0,1000.0,0.0131484728435076,2.1017642051393897
2025-09-11,69000.0,68900.0,69000.0,67100.0,10000,0.15,AST,0.0014513788098693414,68050.0,1900.0,0.0014503265776451,2.120987233437907
2025-09-12,70900.0,69000.0,71000.0,68800.0,18200,2.75,AST,0.02753623188405796,69900.0,2200.0,0.0271639289408227,2.48622477110974
2025-09-15,73000.0,69900.0,73000.0,69900.0,22400,2.96,AST,0.02961918194640334,71450.0,3100.0,0.0433937919086258,2.889908365378608
2025-09-16,71200.0,73000.0,73000.0,71200.0,1800,-2.47,AST,-0.024657534246575352,72100.0,1800.0,-0.0249666227304601,2.5438938560052926
2025-09-17,72000.0,71200.0,72000.0,71200.0,1900,1.12,AST,0.011235955056179803,71600.0,800.0,0.0111733005981253,2.6976780823934328
2025-09-18,71000.0,72000.0,72000.0,71000.0,2700,-1.39,AST,-0.01388888888888884,71500.0,1000.0,-0.0139862419747398,2.5054477994082576
2025-09-19,70200.0,71900.0,71900.0,70200.0,2200,-1.13,AST,-0.011267605633802802,71050.0,1700.0,-0.0239279536952352,2.3516635730201174
2025-09-22,70700.0,70000.0,70800.0,68800.0,12700,0.71,AST,0.007122507122507171,69800.0,2000.0,0.0099503308531687,2.447778714512705
2025-09-23,70000.0,70700.0,70700.0,69100.0,6300,-0.99,AST,-0.00990099009900991,69900.0,1600.0,-0.0099503308531687,2.3132175164230824
2025-09-24,70000.0,69900.0,70500.0,69600.0,6000,0.0,AST,0.0,70050.0,900.0,0.0014295928095933,2.3132175164230824
2025-09-25,70900.0,70500.0,71100.0,70000.0,13100,1.29,AST,0.0128571428571429,70550.0,1100.0,0.0056577237198585,2.48622477110974
2025-09-26,71800.0,70600.0,71800.0,70400.0,2900,1.27,AST,0.012693935119887145,71100.0,1400.0,0.0168543315549811,2.6592320257963977
2024-06-24,88537.0,87478.0,90269.0,86612.0,459700,2.45,SCS,0.024496644295302072,88440.5,3657.0,0.0120332105605367,2.000172810965156
2025-04-08,55800.0,55800.0,58800.0,55800.0,641700,-6.84,SCS,-0.06844741235392315,57300.0,3000.0,0.0,-2.022219550566727
2025-04-09,52400.0,51900.0,55600.0,51900.0,1080000,-6.09,SCS,-0.06093189964157708,53750.0,3700.0,0.0095878011551544,-2.439977256807629
2025-08-14,136300.0,128900.0,136300.0,128000.0,4480000,6.99,VJC,0.06985871271585564,132150.0,8300.0,0.0558214287573459,2.4843036399148715
2025-08-15,145600.0,143100.0,145800.0,133900.0,3440000,6.82,VJC,0.06823184152604544,139850.0,11900.0,0.0173194492001815,3.204357025109406
2025-08-18,142400.0,145600.0,145600.0,140000.0,2040000,-2.2,VJC,-0.02197802197802201,142800.0,5600.0,-0.0222231367847101,2.9565967205263406
2025-08-19,146000.0,151900.0,152300.0,144300.0,2390000,2.53,VJC,0.02528089887640439,148300.0,8000.0,-0.0396157878933909,3.2353270631822895
2025-08-20,143800.0,146000.0,146000.0,136500.0,2400000,-1.51,VJC,-0.015068493150684925,141250.0,9500.0,-0.0151831764213898,3.064991853781432
2025-08-21,145800.0,143700.0,146000.0,140100.0,2760000,1.39,VJC,0.013908205841446364,143050.0,5900.0,0.0145080264895796,3.2198420441458477
2025-08-22,140000.0,140500.0,145000.0,138000.0,2400000,-3.98,VJC,-0.03978052126200271,141500.0,7000.0,-0.0035650661644961,2.770776492089041
2025-08-25,142500.0,140500.0,144500.0,140000.0,2430000,1.79,VJC,0.017857142857142794,142250.0,4500.0,0.0141345109349053,2.9643392300445615
2025-08-26,144000.0,143000.0,144500.0,141200.0,2020000,1.05,VJC,0.010526315789473717,142850.0,3300.0,0.0069686693160946,3.0804768728178735
2025-08-27,144100.0,144500.0,145100.0,141800.0,2020000,0.07,VJC,0.000694444444444553,143450.0,3300.0,-0.00277200454701,3.088219382336094
2025-08-28,145000.0,144500.0,148200.0,144000.0,1970000,0.62,VJC,0.006245662734212454,146100.0,4200.0,0.0034542348680872,3.1579019680000813
2025-08-29,144500.0,145600.0,146200.0,142900.0,2060000,-0.34,VJC,-0.0034482758620689724,144550.0,3300.0,-0.0075836282100993,3.1191894204089774
2025-09-03,142000.0,144000.0,144000.0,140000.0,2130000,-1.73,VJC,-0.01730103806228378,142000.0,4000.0,-0.0139862419747398,2.925626682453457
2025-09-04,140000.0,142200.0,142200.0,139500.0,2009999,-1.41,VJC,-0.014084507042253502,140850.0,2700.0,-0.0155920947598371,2.770776492089041
2025-09-05,142000.0,140100.0,145000.0,140000.0,2080000,1.43,VJC,0.014285714285714235,142500.0,5000.0,0.0134706042583001,2.925626682453457
2025-09-08,141900.0,141000.0,142600.0,139200.0,2160000,-0.07,VJC,-0.0007042253521126751,140900.0,3400.0,0.0063626937878282,2.9178841729352363
2025-09-09,145000.0,142000.0,146600.0,141900.0,2380000,2.18,VJC,0.021846370683580085,144250.0,4700.0,0.0209066848193124,3.1579019680000813
2025-09-10,144900.0,145500.0,145600.0,141800.0,1970000,-0.07,VJC,-0.0006896551724138167,143700.0,3800.0,-0.0041322372849119,3.1501594584818604
2025-09-11,145400.0,145000.0,146000.0,140500.0,2170000,0.35,VJC,0.003450655624568588,143250.0,5500.0,0.0027548226788454,3.1888720060729647
2025-09-12,146000.0,145600.0,148500.0,144500.0,2320000,0.41,VJC,0.004126547455295837,146500.0,4000.0,0.00274348594575,3.2353270631822895
2025-09-15,145600.0,146500.0,146500.0,143500.0,2240000,-0.27,VJC,-0.002739726027397249,145000.0,3000.0,-0.006162292694535,3.204357025109406
2025-09-16,142000.0,145700.0,147100.0,142000.0,2240000,-2.47,VJC,-0.02472527472527475,144550.0,5100.0,-0.0257226555998979,2.925626682453457
2025-09-17,142000.0,142000.0,142500.0,140400.0,2020000,0.0,VJC,0.0,141450.0,2100.0,0.0,2.925626682453457
2025-09-18,139800.0,142100.0,142100.0,139200.0,2100000,-1.55,VJC,-0.015492957746478853,140650.0,2900.0,-0.0163182053033441,2.7552914730525995
2025-09-19,137200.0,139800.0,139800.0,135000.0,2080000,-1.86,VJC,-0.01859799713876964,137400.0,4800.0,-0.0187731145079261,2.553986225578859
2025-09-22,135500.0,136500.0,136700.0,131000.0,2350000,-1.24,VJC,-0.012390670553935834,133850.0,5700.0,-0.0073529743052596,2.422363563769105
2025-09-23,133000.0,135600.0,136000.0,132700.0,1760000,-1.85,VJC,-0.01845018450184499,134350.0,3300.0,-0.0193602472845419,2.228800825813585
2025-09-24,133700.0,133000.0,134000.0,130400.0,1530000,0.53,VJC,0.0052631578947368585,132200.0,3600.0,0.0052493558861446,2.282998392441131
2025-09-25,135900.0,134000.0,137300.0,133900.0,1690000,1.65,VJC,0.01645474943904257,135600.0,3400.0,0.0140795212061863,2.4533336018419885
2025-09-26,132500.0,136100.0,136100.0,132500.0,1760000,-2.5,VJC,-0.025018395879323085,134300.0,3600.0,-0.0268072642311434,2.190088278222481
2024-04-01,27100.0,25000.0,27300.0,25000.0,209930,7.97,VTR,0.07968127490039834,26150.0,2300.0,0.080657903017455,2.0676403010540017
2024-04-02,27500.0,27800.0,27900.0,27000.0,112230,1.48,VTR,0.014760147601476037,27450.0,900.0,-0.0108500160240652,2.2077485688212692
2024-04-03,27200.0,28000.0,28000.0,26300.0,71820,-1.09,VTR,-0.010909090909090868,27150.0,1700.0,-0.0289875368732523,2.1026673679958185
2024-04-04,27100.0,27300.0,27300.0,26800.0,69100,-0.37,VTR,-0.003676470588235281,27050.0,500.0,-0.0073529743052578,2.0676403010540017
2024-04-05,27600.0,27000.0,27700.0,26600.0,119530,1.85,VTR,0.01845018450184499,27150.0,1100.0,0.0219789067187754,2.242775635763086
2024-04-08,27500.0,25400.0,28000.0,25400.0,54170,-0.36,VTR,-0.0036231884057971175,26700.0,2600.0,0.079436830648035,2.2077485688212692
2024-04-09,27000.0,27200.0,27200.0,26100.0,125960,-1.82,VTR,-0.018181818181818188,26650.0,1100.0,-0.0073801072976227,2.0326132341121848
2024-04-11,27100.0,26200.0,27300.0,26000.0,71360,1.5,VTR,0.014981273408239737,26650.0,1300.0,0.0337743171186044,2.0676403010540017
2024-04-12,28000.0,27000.0,28500.0,27000.0,141380,3.32,VTR,0.03321033210332103,27750.0,1500.0,0.0363676441708751,2.3828839035303537
2024-04-15,27500.0,27700.0,28800.0,27200.0,155990,-1.79,VTR,-0.017857142857142905,28000.0,1600.0,-0.0072464085207659,2.2077485688212692
2024-04-16,27200.0,27900.0,27900.0,26500.0,87960,-1.09,VTR,-0.010909090909090868,27200.0,1400.0,-0.0254097155253685,2.1026673679958185
2024-04-17,27200.0,27200.0,27800.0,26500.0,40070,0.0,VTR,0.0,27150.0,1300.0,0.0,2.1026673679958185
2024-05-07,27400.0,27500.0,27500.0,26900.0,89570,1.86,VTR,0.018587360594795488,27200.0,600.0,-0.003642991278502,2.1727215018794523
